日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,复星医药,0600196,33.97,34.55,33.70,34.19,0.20,0.59,"128,066","43,689",2.50,0.67
2017-09-28,复星医药,0600196,32.90,34.35,32.83,33.99,1.03,3.13,"152,222","51,488",4.61,0.80
2017-09-27,复星医药,0600196,33.10,33.19,32.77,32.96,-0.05,-0.15,"92,933","30,636",1.27,0.49
2017-09-26,复星医药,0600196,33.79,33.80,32.77,33.01,-0.94,-2.77,"129,809","43,183",3.03,0.68
2017-09-25,复星医药,0600196,33.18,34.16,32.91,33.95,0.80,2.41,"157,204","52,975",3.77,0.82
2017-09-22,复星医药,0600196,32.76,33.52,32.48,33.15,0.38,1.16,"180,745","59,881",3.17,0.95
2017-09-21,复星医药,0600196,32.80,33.10,32.21,32.77,0.01,0.03,"166,176","54,272",2.72,0.87
2017-09-20,复星医药,0600196,31.42,33.16,31.37,32.76,1.58,5.07,"279,098","90,802",5.74,1.46
2017-09-19,复星医药,0600196,31.66,32.10,31.00,31.18,0.01,0.03,"141,137","44,467",3.53,0.74
2017-09-18,复星医药,0600196,31.30,32.30,31.15,31.17,0.19,0.61,"283,452","90,005",3.71,1.48
2017-09-15,复星医药,0600196,29.81,31.25,29.81,30.98,1.17,3.92,"259,234","79,447",4.83,1.36
2017-09-14,复星医药,0600196,29.22,30.08,29.22,29.81,0.60,2.05,"160,820","47,850",2.94,0.84
2017-09-13,复星医药,0600196,29.37,29.38,29.15,29.21,-0.03,-0.10,"50,443","14,762",0.79,0.26
2017-09-12,复星医药,0600196,29.52,29.52,29.01,29.24,-0.26,-0.88,"132,559","38,729",1.73,0.69
2017-09-11,复星医药,0600196,30.42,30.53,29.33,29.50,-0.92,-3.02,"210,974","62,739",3.94,1.11
2017-09-08,复星医药,0600196,30.38,30.79,30.01,30.42,0.05,0.16,"89,602","27,246",2.57,0.47
2017-09-07,复星医药,0600196,29.66,30.67,29.66,30.37,0.71,2.39,"186,678","56,533",3.41,0.98
2017-09-06,复星医药,0600196,29.65,29.87,29.50,29.66,0.00,0.00,"131,787","39,149",1.25,0.69
2017-09-05,复星医药,0600196,29.22,29.75,29.14,29.66,0.41,1.40,"123,848","36,432",2.09,0.65
2017-09-04,复星医药,0600196,29.44,29.50,28.90,29.25,-0.16,-0.54,"150,061","43,732",2.04,0.79
2017-09-01,复星医药,0600196,29.40,29.56,29.10,29.41,0.15,0.51,"154,396","45,288",1.57,0.81
2017-08-31,复星医药,0600196,29.60,30.09,28.73,29.26,-0.13,-0.44,"202,184","59,234",4.63,1.06
2017-08-30,复星医药,0600196,29.63,29.78,29.17,29.39,-0.75,-2.49,"158,165","46,569",2.02,0.83
2017-08-29,复星医药,0600196,29.65,30.17,29.58,30.14,0.63,2.13,"119,297","35,634",2.00,0.62
2017-08-28,复星医药,0600196,30.16,30.30,29.17,29.51,-0.63,-2.09,"201,241","59,667",3.75,1.05
2017-08-25,复星医药,0600196,30.19,30.46,29.95,30.14,-0.08,-0.26,"63,179","19,030",1.69,0.33
2017-08-24,复星医药,0600196,30.92,30.93,30.04,30.22,-0.65,-2.11,"57,803","17,563",2.88,0.30
2017-08-23,复星医药,0600196,30.65,30.95,30.50,30.87,0.11,0.36,"78,475","24,146",1.46,0.41
2017-08-22,复星医药,0600196,30.18,30.85,29.94,30.76,0.47,1.55,"94,966","29,022",3.00,0.50
2017-08-21,复星医药,0600196,29.93,30.38,29.78,30.29,0.27,0.90,"88,691","26,796",2.00,0.46
2017-08-18,复星医药,0600196,29.49,30.06,29.25,30.02,0.44,1.49,"92,188","27,507",2.74,0.48
2017-08-17,复星医药,0600196,29.66,29.89,29.45,29.58,-0.09,-0.30,"49,590","14,705",1.48,0.26
2017-08-16,复星医药,0600196,29.65,29.88,29.41,29.67,0.07,0.24,"48,911","14,488",1.59,0.26
2017-08-15,复星医药,0600196,29.59,29.76,29.40,29.60,0.03,0.10,"42,298","12,498",1.22,0.22
2017-08-14,复星医药,0600196,29.00,30.10,29.00,29.57,0.58,2.00,"117,442","34,819",3.79,0.62
2017-08-11,复星医药,0600196,29.29,29.51,28.96,28.99,-0.52,-1.76,"85,396","24,972",1.86,0.45
2017-08-10,复星医药,0600196,29.68,29.86,29.25,29.51,-0.18,-0.61,"86,051","25,392",2.05,0.45
2017-08-09,复星医药,0600196,28.88,29.87,28.65,29.69,1.05,3.67,"161,559","47,548",4.26,0.85
2017-08-08,复星医药,0600196,28.50,29.10,28.43,28.99,0.41,1.43,"88,734","25,593",2.34,0.46
2017-08-07,复星医药,0600196,28.41,28.65,28.15,28.58,0.18,0.63,"65,970","18,739",1.76,0.35
2017-08-04,复星医药,0600196,28.27,28.53,28.17,28.40,0.09,0.32,"72,829","20,634",1.27,0.38
2017-08-03,复星医药,0600196,28.61,28.70,28.25,28.31,-0.38,-1.32,"97,067","27,582",1.57,0.51
2017-08-02,复星医药,0600196,28.88,29.18,28.60,28.69,-0.13,-0.45,"85,241","24,558",2.01,0.45
2017-08-01,复星医药,0600196,29.15,29.22,28.70,28.82,-0.33,-1.13,"90,097","25,982",1.78,0.47
2017-07-31,复星医药,0600196,28.90,29.44,28.68,29.15,0.33,1.15,"132,283","38,593",2.64,0.69
2017-07-28,复星医药,0600196,28.63,28.90,28.51,28.82,0.04,0.14,"60,163","17,294",1.36,0.32
2017-07-27,复星医药,0600196,29.20,29.20,28.37,28.78,-0.28,-0.96,"90,178","25,809",2.86,0.47
2017-07-26,复星医药,0600196,29.75,29.87,28.92,29.06,-0.52,-1.76,"101,256","29,557",3.21,0.53
2017-07-25,复星医药,0600196,29.16,29.92,29.16,29.58,0.43,1.48,"155,815","46,118",2.61,0.82
2017-07-24,复星医药,0600196,28.93,29.68,28.93,29.15,0.54,1.89,"165,684","48,625",2.62,0.87
2017-07-21,复星医药,0600196,28.52,28.88,28.40,28.61,0.08,0.28,"99,330","28,455",1.68,0.52
2017-07-20,复星医药,0600196,28.80,28.98,28.32,28.53,-0.29,-1.01,"174,651","49,942",2.29,0.91
2017-07-19,复星医药,0600196,28.79,28.95,28.37,28.82,0.11,0.38,"152,792","43,802",2.02,0.80
2017-07-18,复星医药,0600196,29.52,29.65,28.00,28.71,-1.20,-4.01,"296,088","84,539",5.52,1.55
2017-07-17,复星医药,0600196,29.87,30.24,29.12,29.91,-0.07,-0.23,"134,329","40,023",3.74,0.70
2017-07-14,复星医药,0600196,29.94,30.55,29.90,29.98,0.27,0.91,"127,695","38,596",2.19,0.67
2017-07-13,复星医药,0600196,29.33,30.23,29.31,29.71,0.47,1.61,"181,102","54,171",3.15,0.95
2017-07-12,复星医药,0600196,29.49,29.61,29.05,29.24,-0.25,-0.85,"142,608","41,744",1.90,0.75
2017-07-11,复星医药,0600196,29.00,29.73,29.00,29.49,0.53,1.83,"177,316","52,074",2.52,0.93
2017-07-10,复星医药,0600196,29.75,29.75,28.62,28.96,-0.92,-3.08,"249,603","72,463",3.78,1.31
2017-07-07,复星医药,0600196,29.99,30.16,29.52,29.88,-0.31,-1.03,"225,971","67,394",2.12,1.18
2017-07-06,复星医药,0600196,31.34,31.40,28.56,30.19,-1.15,-3.67,"553,809","164,256",9.06,2.90
2017-07-05,复星医药,0600196,31.18,31.62,31.00,31.34,0.08,0.26,"86,094","27,070",1.98,0.45
2017-07-04,复星医药,0600196,31.12,31.41,30.64,31.26,-0.04,-0.13,"140,231","43,495",2.46,0.73
2017-07-03,复星医药,0600196,30.95,31.65,30.78,31.30,0.31,1.00,"141,020","44,281",2.81,0.74
2017-12-29,复星医药,0600196,44.99,45.67,44.30,44.50,-0.46,-1.02,"159,850","71,664",3.05,0.84
2017-12-28,复星医药,0600196,43.87,45.50,43.44,44.96,1.31,3.00,"266,597","118,840",4.72,1.40
2017-12-27,复星医药,0600196,44.50,44.55,43.20,43.65,-1.21,-2.70,"204,427","89,887",3.01,1.07
2017-12-26,复星医药,0600196,46.69,46.85,43.52,44.86,-1.83,-3.92,"469,764","210,130",7.13,2.46
2017-12-25,复星医药,0600196,46.69,47.58,45.96,46.69,-0.01,-0.02,"214,028","100,116",3.47,1.12
2017-12-22,复星医药,0600196,46.57,47.54,46.32,46.70,-0.20,-0.43,"217,369","101,817",2.60,1.14
2017-12-21,复星医药,0600196,44.11,46.95,43.66,46.90,3.09,7.05,"393,342","179,861",7.51,2.06
2017-12-20,复星医药,0600196,44.48,44.79,43.70,43.81,-0.82,-1.84,"198,963","87,839",2.44,1.04
2017-12-19,复星医药,0600196,42.99,44.68,42.50,44.63,1.64,3.81,"252,815","110,185",5.07,1.32
2017-12-18,复星医药,0600196,43.34,44.05,42.23,42.99,0.00,0.00,"162,528","69,839",4.23,0.85
2017-12-15,复星医药,0600196,44.26,44.95,42.86,42.99,-1.14,-2.58,"225,499","98,625",4.74,1.18
2017-12-14,复星医药,0600196,43.35,44.96,43.00,44.13,0.70,1.61,"240,798","106,303",4.51,1.26
2017-12-13,复星医药,0600196,42.68,44.03,42.34,43.43,0.55,1.28,"176,167","76,318",3.94,0.92
2017-12-12,复星医药,0600196,43.07,44.07,42.48,42.88,-0.13,-0.30,"207,852","90,094",3.70,1.09
2017-12-11,复星医药,0600196,40.99,43.47,40.82,43.01,1.92,4.67,"307,215","131,373",6.45,1.61
2017-12-08,复星医药,0600196,39.35,41.17,38.88,41.09,1.55,3.92,"229,436","92,155",5.79,1.20
2017-12-07,复星医药,0600196,38.70,39.75,38.48,39.54,0.79,2.04,"164,035","64,641",3.28,0.86
2017-12-06,复星医药,0600196,38.87,39.73,37.75,38.75,0.02,0.05,"141,908","54,952",5.11,0.74
2017-12-05,复星医药,0600196,39.37,39.93,38.38,38.73,-0.86,-2.17,"137,820","53,781",3.92,0.72
2017-12-04,复星医药,0600196,38.22,40.30,38.03,39.59,1.34,3.50,"210,125","83,085",5.93,1.10
2017-12-01,复星医药,0600196,36.87,38.55,36.82,38.25,1.59,4.34,"187,501","71,094",4.72,0.98
2017-11-30,复星医药,0600196,37.52,38.01,36.63,36.66,-1.09,-2.89,"111,658","41,669",3.66,0.58
2017-11-29,复星医药,0600196,38.04,38.60,37.50,37.75,-0.33,-0.87,"130,437","49,635",2.89,0.68
2017-11-28,复星医药,0600196,37.23,38.27,37.20,38.08,0.74,1.98,"159,389","60,248",2.87,0.83
2017-11-27,复星医药,0600196,38.41,38.41,36.81,37.34,-1.07,-2.79,"161,008","60,441",4.17,0.84
2017-11-24,复星医药,0600196,38.00,38.91,37.99,38.41,0.06,0.16,"114,649","44,123",2.40,0.60
2017-11-23,复星医药,0600196,40.58,40.58,38.33,38.35,-2.29,-5.63,"263,380","102,581",5.54,1.38
2017-11-22,复星医药,0600196,42.30,42.66,40.34,40.64,-1.30,-3.10,"210,760","87,624",5.53,1.10
2017-11-21,复星医药,0600196,42.15,43.66,41.71,41.94,-0.24,-0.57,"233,247","99,164",4.62,1.22
2017-11-20,复星医药,0600196,40.80,42.20,40.06,42.18,0.99,2.40,"169,458","70,199",5.20,0.89
2017-11-17,复星医药,0600196,41.96,42.28,40.81,41.19,-0.76,-1.81,"149,073","61,706",3.50,0.78
2017-11-16,复星医药,0600196,40.71,42.00,40.69,41.95,0.85,2.07,"184,012","76,412",3.19,0.96
2017-11-15,复星医药,0600196,40.37,41.36,39.80,41.10,0.60,1.48,"275,814","112,343",3.85,1.44
2017-11-14,复星医药,0600196,42.87,43.19,39.95,40.50,-2.15,-5.04,"347,574","144,092",7.60,1.82
2017-11-13,复星医药,0600196,43.84,44.04,42.38,42.65,-1.16,-2.65,"285,378","122,594",3.79,1.49
2017-11-10,复星医药,0600196,43.59,44.37,42.80,43.81,-0.10,-0.23,"213,677","93,157",3.58,1.12
2017-11-09,复星医药,0600196,42.70,44.08,42.03,43.91,1.09,2.55,"218,706","94,355",4.79,1.15
2017-11-08,复星医药,0600196,43.30,44.44,42.37,42.82,-0.53,-1.22,"245,369","106,144",4.78,1.29
2017-11-07,复星医药,0600196,44.79,45.50,43.00,43.35,-1.42,-3.17,"283,918","124,844",5.58,1.49
2017-11-06,复星医药,0600196,42.96,45.18,42.48,44.77,1.77,4.12,"287,334","126,990",6.28,1.51
2017-11-03,复星医药,0600196,40.70,43.20,40.70,43.00,2.21,5.42,"289,686","122,037",6.13,1.52
2017-11-02,复星医药,0600196,39.66,41.21,39.50,40.79,0.80,2.00,"152,542","61,993",4.28,0.80
2017-11-01,复星医药,0600196,39.88,41.30,39.70,39.99,0.15,0.38,"183,285","74,189",4.02,0.96
2017-10-31,复星医药,0600196,39.43,40.12,38.61,39.84,-0.34,-0.85,"236,969","93,439",3.76,1.24
2017-10-30,复星医药,0600196,41.50,41.68,39.75,40.18,-1.31,-3.16,"201,025","80,999",4.65,1.05
2017-10-27,复星医药,0600196,41.01,41.55,40.08,41.49,0.51,1.24,"145,184","59,029",3.59,0.76
2017-10-26,复星医药,0600196,41.40,42.29,40.41,40.98,-0.77,-1.84,"201,950","83,382",4.50,1.06
2017-10-25,复星医药,0600196,39.91,41.95,39.71,41.75,1.84,4.61,"182,156","75,117",5.61,0.95
2017-10-24,复星医药,0600196,39.18,40.70,38.95,39.91,0.47,1.19,"143,388","57,502",4.44,0.75
2017-10-23,复星医药,0600196,39.38,39.94,38.76,39.44,-0.01,-0.03,"107,045","42,014",2.99,0.56
2017-10-20,复星医药,0600196,39.20,40.01,38.58,39.45,-0.01,-0.03,"120,601","47,265",3.62,0.63
2017-10-19,复星医药,0600196,37.43,39.80,37.43,39.46,2.17,5.82,"226,370","88,101",6.36,1.19
2017-10-18,复星医药,0600196,37.60,37.60,36.76,37.29,-0.34,-0.90,"99,535","36,961",2.23,0.52
2017-10-17,复星医药,0600196,37.56,37.80,36.88,37.63,0.10,0.27,"105,857","39,556",2.45,0.55
2017-10-16,复星医药,0600196,36.98,37.95,36.68,37.53,0.86,2.35,"139,437","52,209",3.46,0.73
2017-10-13,复星医药,0600196,36.52,37.25,36.41,36.67,-0.03,-0.08,"132,773","49,012",2.29,0.70
2017-10-12,复星医药,0600196,35.58,37.00,35.20,36.70,0.87,2.43,"187,437","68,271",5.02,0.98
2017-10-11,复星医药,0600196,34.45,36.46,34.40,35.83,1.16,3.35,"271,217","96,836",5.94,1.42
2017-10-10,复星医药,0600196,35.45,35.84,33.14,34.67,-0.21,-0.60,"392,197","133,841",7.74,2.05
2017-10-09,复星医药,0600196,35.71,36.28,34.70,34.88,0.69,2.02,"300,334","107,296",4.62,1.57
2017-06-30,复星医药,0600196,30.61,31.18,30.43,30.99,0.27,0.88,"147,126","45,370",2.44,0.77
2017-06-29,复星医药,0600196,30.82,30.98,30.35,30.72,-0.08,-0.26,"116,477","35,673",2.05,0.61
2017-06-28,复星医药,0600196,31.18,31.45,30.62,30.80,-0.45,-1.44,"104,673","32,458",2.66,0.55
2017-06-27,复星医药,0600196,31.58,31.63,30.88,31.25,-0.31,-0.98,"146,409","45,766",2.38,0.77
2017-06-26,复星医药,0600196,31.23,31.65,30.73,31.56,0.38,1.22,"240,873","75,204",2.95,1.26
2017-06-23,复星医药,0600196,30.60,31.36,30.18,31.18,1.01,3.35,"406,725","125,359",3.91,2.13
2017-06-22,复星医药,0600196,32.66,32.77,29.89,30.17,-2.63,-8.02,"514,510","159,250",8.78,2.70
2017-06-21,复星医药,0600196,31.95,32.84,31.65,32.80,0.90,2.82,"154,827","49,718",3.73,0.81
2017-06-20,复星医药,0600196,32.19,32.28,31.80,31.90,-0.28,-0.87,"106,045","33,898",1.49,0.56
2017-06-19,复星医药,0600196,31.99,32.25,31.68,32.18,0.16,0.50,"84,285","26,992",1.78,0.44
2017-06-16,复星医药,0600196,32.00,32.39,31.71,32.02,-0.03,-0.09,"110,701","35,459",2.12,0.58
2017-06-15,复星医药,0600196,32.32,32.47,31.63,32.05,-0.36,-1.11,"164,040","52,341",2.59,0.86
2017-06-14,复星医药,0600196,33.39,33.45,32.00,32.41,-0.99,-2.96,"176,240","57,416",4.34,0.92
2017-06-13,复星医药,0600196,33.14,33.41,32.75,33.40,0.26,0.78,"93,432","30,947",1.99,0.49
2017-06-12,复星医药,0600196,32.97,33.82,32.89,33.14,0.08,0.24,"113,476","37,844",2.81,0.59
2017-06-09,复星医药,0600196,33.43,33.83,32.96,33.06,-0.23,-0.69,"93,319","30,994",2.61,0.49
2017-06-08,复星医药,0600196,32.64,33.56,32.51,33.29,0.67,2.05,"118,149","39,234",3.22,0.62
2017-06-07,复星医药,0600196,32.18,32.95,32.01,32.62,0.64,2.00,"131,577","42,962",2.94,0.69
2017-06-06,复星医药,0600196,31.46,32.14,31.21,31.98,0.53,1.69,"69,787","22,167",2.96,0.37
2017-06-05,复星医药,0600196,31.91,31.99,31.10,31.45,-0.44,-1.38,"91,901","28,891",2.79,0.48
2017-06-02,复星医药,0600196,32.05,32.38,31.68,31.89,-0.29,-0.90,"87,254","27,962",2.18,0.46
2017-06-01,复星医药,0600196,31.58,32.37,31.42,32.18,0.50,1.58,"119,270","38,196",3.00,0.62
2017-05-31,复星医药,0600196,31.03,31.75,30.60,31.68,0.65,2.09,"95,401","29,629",3.71,0.50
2017-05-26,复星医药,0600196,31.23,31.49,30.50,31.03,-0.27,-0.86,"66,783","20,716",3.16,0.35
2017-05-25,复星医药,0600196,31.58,32.24,31.25,31.30,-0.36,-1.14,"114,913","36,454",3.13,0.60
2017-05-24,复星医药,0600196,31.50,31.69,30.70,31.66,0.16,0.51,"113,620","35,431",3.14,0.60
2017-05-23,复星医药,0600196,31.03,31.98,30.84,31.50,0.44,1.42,"135,777","42,951",3.67,0.71
2017-05-22,复星医药,0600196,30.66,31.09,30.26,31.06,0.39,1.27,"89,862","27,708",2.71,0.47
2017-05-19,复星医药,0600196,30.46,30.73,30.40,30.67,0.21,0.69,"60,342","18,456",1.08,0.32
2017-05-18,复星医药,0600196,30.00,30.67,29.86,30.46,0.13,0.43,"84,467","25,676",2.67,0.44
2017-05-17,复星医药,0600196,31.54,31.54,30.27,30.33,-1.53,-4.80,"260,867","80,208",3.99,1.37
2017-05-16,复星医药,0600196,31.36,31.95,31.10,31.86,0.41,1.30,"117,547","37,168",2.70,0.62
2017-05-15,复星医药,0600196,31.15,31.65,30.90,31.45,0.27,0.87,"121,049","37,858",2.41,0.63
2017-05-12,复星医药,0600196,30.16,31.20,30.07,31.18,1.02,3.38,"128,231","39,450",3.75,0.67
2017-05-11,复星医药,0600196,30.20,30.46,29.81,30.16,0.18,0.60,"115,575","34,828",2.17,0.61
2017-05-10,复星医药,0600196,29.62,30.58,29.62,29.98,0.67,2.29,"163,866","49,475",3.28,0.86
2017-05-09,复星医药,0600196,29.90,29.90,28.61,29.31,-0.71,-2.37,"134,182","39,111",4.30,0.70
2017-05-08,复星医药,0600196,29.90,30.16,29.68,30.02,0.10,0.33,"78,458","23,503",1.60,0.41
2017-05-05,复星医药,0600196,29.44,30.26,29.37,29.92,0.59,2.01,"133,897","40,132",3.03,0.70
2017-05-04,复星医药,0600196,29.53,29.63,29.20,29.33,-0.36,-1.21,"83,302","24,444",1.45,0.44
2017-05-03,复星医药,0600196,29.33,29.93,29.07,29.69,0.27,0.92,"107,501","31,876",2.92,0.56
2017-05-02,复星医药,0600196,29.35,29.58,28.60,29.42,-0.12,-0.41,"154,292","44,825",3.32,0.81
2017-04-28,复星医药,0600196,30.12,30.50,28.92,29.54,-0.66,-2.19,"176,803","52,111",5.23,0.93
2017-04-27,复星医药,0600196,29.71,30.33,29.61,30.20,0.31,1.04,"82,704","24,817",2.41,0.43
2017-04-26,复星医药,0600196,30.09,30.78,29.40,29.89,-0.38,-1.26,"153,892","46,091",4.56,0.81
2017-04-25,复星医药,0600196,30.55,30.60,29.88,30.27,-0.47,-1.53,"117,564","35,428",2.34,0.62
2017-04-24,复星医药,0600196,30.01,30.77,29.27,30.74,0.00,0.00,"133,579","40,205",4.88,0.70
2017-04-21,复星医药,0600196,31.01,31.35,29.99,30.74,-0.26,-0.84,"137,238","41,889",4.39,0.72
2017-04-20,复星医药,0600196,30.35,31.50,30.04,31.00,0.66,2.18,"138,262","42,801",4.81,0.72
2017-04-19,复星医药,0600196,30.00,30.59,29.84,30.34,0.21,0.70,"129,480","39,129",2.49,0.68
2017-04-18,复星医药,0600196,29.11,30.31,29.10,30.13,0.87,2.97,"172,682","51,758",4.14,0.90
2017-04-17,复星医药,0600196,29.04,29.67,28.82,29.26,0.07,0.24,"112,502","32,918",2.91,0.59
2017-04-14,复星医药,0600196,29.19,29.28,28.71,29.19,0.00,0.00,"73,109","21,236",1.95,0.38
2017-04-13,复星医药,0600196,28.17,29.30,27.93,29.19,1.02,3.62,"145,180","41,925",4.86,0.76
2017-04-12,复星医药,0600196,28.08,28.35,27.79,28.17,0.04,0.14,"74,080","20,848",1.99,0.39
2017-04-11,复星医药,0600196,28.18,28.59,27.68,28.13,-0.12,-0.42,"94,479","26,477",3.22,0.49
2017-04-10,复星医药,0600196,28.68,28.76,28.14,28.25,-0.41,-1.43,"58,231","16,519",2.16,0.31
2017-04-07,复星医药,0600196,28.65,28.90,28.46,28.66,-0.11,-0.38,"70,117","20,113",1.53,0.37
2017-04-06,复星医药,0600196,27.99,28.88,27.89,28.77,0.78,2.79,"114,353","32,615",3.54,0.60
2017-04-05,复星医药,0600196,27.94,28.95,27.80,27.99,-0.23,-0.82,"203,697","57,594",4.08,1.07
2017-03-31,复星医药,0600196,27.60,28.47,27.58,28.22,0.53,1.91,"136,866","38,551",3.21,0.72
2017-03-30,复星医药,0600196,27.52,27.80,27.04,27.69,0.21,0.76,"105,178","28,917",2.77,0.55
2017-03-29,复星医药,0600196,27.92,27.92,26.94,27.48,-0.66,-2.35,"344,614","94,349",3.48,1.81
2017-03-28,复星医药,0600196,28.05,28.28,27.83,28.14,0.24,0.86,"111,458","31,306",1.61,0.58
2017-03-27,复星医药,0600196,28.15,28.63,27.59,27.90,-0.23,-0.82,"124,405","34,986",3.70,0.65
2017-03-24,复星医药,0600196,28.20,28.70,28.05,28.13,-0.27,-0.95,"115,540","32,753",2.29,0.61
2017-03-23,复星医药,0600196,28.54,28.90,28.10,28.40,-0.14,-0.49,"138,031","39,418",2.80,0.72
2017-03-22,复星医药,0600196,27.58,28.65,27.42,28.54,0.85,3.07,"186,419","52,446",4.44,0.98
2017-03-21,复星医药,0600196,27.80,28.03,27.43,27.69,0.08,0.29,"129,920","36,146",2.17,0.68
2017-03-20,复星医药,0600196,26.90,27.75,26.90,27.61,0.64,2.37,"169,283","46,531",3.15,0.89
2017-03-17,复星医药,0600196,26.63,27.07,26.62,26.97,0.37,1.39,"144,692","38,985",1.69,0.76
2017-03-16,复星医药,0600196,26.58,26.74,26.43,26.60,0.01,0.04,"96,938","25,749",1.17,0.51
2017-03-15,复星医药,0600196,26.51,26.69,26.26,26.59,0.10,0.38,"93,346","24,784",1.62,0.49
2017-03-14,复星医药,0600196,26.01,26.54,26.01,26.49,0.50,1.92,"124,834","32,935",2.04,0.65
2017-03-13,复星医药,0600196,25.72,26.27,25.68,25.99,0.19,0.74,"117,783","30,666",2.29,0.62
2017-03-10,复星医药,0600196,25.47,25.92,25.47,25.80,0.30,1.18,"73,851","19,027",1.76,0.39
2017-03-09,复星医药,0600196,25.86,26.06,25.49,25.50,-0.42,-1.62,"61,750","15,878",2.20,0.32
2017-03-08,复星医药,0600196,25.99,26.14,25.83,25.92,-0.22,-0.84,"42,764","11,106",1.19,0.22
2017-03-07,复星医药,0600196,25.78,26.23,25.68,26.14,0.37,1.44,"98,440","25,636",2.13,0.52
2017-03-06,复星医药,0600196,25.53,26.01,25.52,25.77,0.09,0.35,"77,277","19,927",1.91,0.40
2017-03-03,复星医药,0600196,25.73,25.73,25.43,25.68,-0.16,-0.62,"82,267","21,012",1.16,0.43
2017-03-02,复星医药,0600196,26.02,26.08,25.73,25.84,-0.14,-0.54,"47,635","12,308",1.35,0.25
2017-03-01,复星医药,0600196,26.00,26.65,25.93,25.98,0.21,0.81,"172,510","45,329",2.79,0.90
2017-02-28,复星医药,0600196,25.82,25.90,25.63,25.77,-0.06,-0.23,"68,039","17,520",1.05,0.36
2017-02-27,复星医药,0600196,26.21,26.31,25.71,25.83,-0.32,-1.22,"73,077","18,935",2.29,0.38
2017-02-24,复星医药,0600196,26.25,26.71,26.10,26.15,0.12,0.46,"197,347","52,111",2.34,1.03
2017-02-23,复星医药,0600196,25.74,26.12,25.73,26.03,0.32,1.24,"90,196","23,419",1.52,0.47
2017-02-22,复星医药,0600196,25.94,26.00,25.61,25.71,-0.28,-1.08,"71,165","18,336",1.50,0.37
2017-02-21,复星医药,0600196,25.32,26.05,25.32,25.99,0.67,2.65,"184,745","47,714",2.88,0.97
2017-02-20,复星医药,0600196,25.07,25.47,25.02,25.32,0.29,1.16,"101,064","25,551",1.80,0.53
2017-02-17,复星医药,0600196,25.07,25.39,24.96,25.03,0.02,0.08,"58,131","14,645",1.72,0.30
2017-02-16,复星医药,0600196,24.75,25.04,24.74,25.01,0.16,0.64,"39,644","9,866",1.21,0.21
2017-02-15,复星医药,0600196,25.14,25.24,24.78,24.85,-0.34,-1.35,"78,325","19,537",1.83,0.41
2017-02-14,复星医药,0600196,25.23,25.35,25.00,25.19,-0.11,-0.43,"61,690","15,511",1.38,0.32
2017-02-13,复星医药,0600196,25.31,25.50,25.02,25.30,0.06,0.24,"87,130","22,059",1.90,0.46
2017-02-10,复星医药,0600196,24.99,25.41,24.96,25.24,0.25,1.00,"107,495","27,133",1.80,0.56
2017-02-09,复星医药,0600196,25.51,25.57,24.87,24.99,-0.52,-2.04,"129,231","32,524",2.74,0.68
2017-02-08,复星医药,0600196,25.58,25.72,25.45,25.51,-0.16,-0.62,"69,170","17,673",1.05,0.36
2017-02-07,复星医药,0600196,25.40,25.68,25.28,25.67,0.36,1.42,"102,557","26,091",1.58,0.54
2017-02-06,复星医药,0600196,25.08,25.71,25.00,25.31,0.16,0.64,"127,618","32,500",2.82,0.67
2017-02-03,复星医药,0600196,24.93,25.36,24.93,25.15,0.23,0.92,"60,054","15,130",1.73,0.31
2017-01-26,复星医药,0600196,25.00,25.11,24.91,24.92,-0.05,-0.20,"58,194","14,558",0.80,0.30
2017-01-25,复星医药,0600196,24.80,25.08,24.75,24.97,0.18,0.73,"63,302","15,790",1.33,0.33
2017-01-24,复星医药,0600196,24.81,25.05,24.70,24.79,-0.01,-0.04,"49,180","12,237",1.41,0.26
2017-01-23,复星医药,0600196,24.88,25.16,24.75,24.80,-0.06,-0.24,"69,021","17,242",1.65,0.36
2017-01-20,复星医药,0600196,24.33,25.00,24.33,24.86,0.49,2.01,"116,738","28,947",2.75,0.61
2017-01-19,复星医药,0600196,24.24,24.68,24.22,24.37,0.01,0.04,"42,964","10,506",1.89,0.23
2017-01-18,复星医药,0600196,24.47,24.74,24.33,24.36,-0.13,-0.53,"116,293","28,576",1.67,0.61
2017-01-17,复星医药,0600196,23.80,24.54,23.70,24.49,0.56,2.34,"144,812","35,026",3.51,0.76
2017-01-16,复星医药,0600196,23.64,24.00,23.45,23.93,0.17,0.72,"164,192","39,031",2.31,0.86
2017-01-13,复星医药,0600196,23.67,23.96,23.41,23.76,0.04,0.17,"73,605","17,425",2.32,0.39
2017-01-12,复星医药,0600196,23.87,23.96,23.62,23.72,-0.01,-0.04,"62,142","14,769",1.43,0.33
2017-01-11,复星医药,0600196,23.45,24.16,23.38,23.73,0.44,1.89,"147,686","35,261",3.35,0.77
2017-01-10,复星医药,0600196,23.45,23.47,23.26,23.29,-0.12,-0.51,"30,845","7,193",0.90,0.16
2017-01-09,复星医药,0600196,23.35,23.55,23.30,23.41,0.06,0.26,"63,998","14,982",1.07,0.34
