日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-07-17,陕西建工,0600248,5.94,5.95,5.53,5.54,-0.42,-7.05,"67,273","3,842",7.05,1.11
2017-07-14,陕西建工,0600248,6.03,6.03,5.93,5.96,-0.05,-0.83,"21,209","1,267",1.66,0.35
2017-07-13,陕西建工,0600248,6.01,6.04,5.98,6.01,-0.01,-0.17,"25,869","1,555",1.00,0.43
2017-07-12,陕西建工,0600248,6.09,6.13,5.96,6.02,-0.11,-1.79,"35,186","2,116",2.77,0.58
2017-07-11,陕西建工,0600248,6.11,6.15,6.08,6.13,0.03,0.49,"38,074","2,328",1.15,0.63
2017-07-10,陕西建工,0600248,6.07,6.12,6.07,6.10,-0.02,-0.33,"23,286","1,420",0.82,0.38
2017-07-07,陕西建工,0600248,6.10,6.13,6.04,6.12,0.02,0.33,"31,747","1,928",1.48,0.52
2017-07-06,陕西建工,0600248,6.10,6.14,6.04,6.10,-0.02,-0.33,"28,049","1,709",1.63,0.46
2017-07-05,陕西建工,0600248,6.06,6.13,6.02,6.12,0.04,0.66,"28,789","1,754",1.81,0.47
2017-07-04,陕西建工,0600248,6.08,6.11,6.05,6.08,0.00,0.00,"25,985","1,579",0.99,0.43
2017-07-03,陕西建工,0600248,6.03,6.09,5.99,6.08,0.05,0.83,"36,933","2,235",1.66,0.61
2017-03-31,陕西建工,0600248,7.70,7.85,7.47,7.49,-0.30,-3.85,"189,045","14,384",4.88,3.11
2017-03-30,陕西建工,0600248,7.86,8.09,7.60,7.79,-0.09,-1.14,"277,036","21,818",6.22,4.56
2017-03-29,陕西建工,0600248,7.75,8.05,7.59,7.88,0.15,1.94,"262,081","20,593",5.95,4.31
2017-03-28,陕西建工,0600248,7.68,7.81,7.63,7.73,0.05,0.65,"95,058","7,343",2.34,1.56
2017-03-27,陕西建工,0600248,7.84,7.92,7.67,7.68,-0.18,-2.29,"144,222","11,201",3.18,2.37
2017-03-24,陕西建工,0600248,7.73,7.94,7.62,7.86,0.13,1.68,"139,376","10,865",4.14,2.29
2017-03-23,陕西建工,0600248,7.78,7.78,7.60,7.73,-0.03,-0.39,"85,822","6,601",2.32,1.41
2017-03-22,陕西建工,0600248,7.64,7.78,7.58,7.76,0.08,1.04,"127,752","9,841",2.60,2.10
2017-03-21,陕西建工,0600248,7.66,7.74,7.60,7.68,-0.03,-0.39,"72,114","5,521",1.82,1.19
2017-03-20,陕西建工,0600248,7.59,7.72,7.51,7.71,0.21,2.80,"113,386","8,671",2.80,1.87
2017-03-17,陕西建工,0600248,7.51,7.61,7.48,7.50,-0.05,-0.66,"64,174","4,851",1.72,1.06
2017-03-16,陕西建工,0600248,7.42,7.55,7.42,7.55,0.14,1.89,"49,891","3,745",1.75,0.82
2017-03-15,陕西建工,0600248,7.50,7.50,7.35,7.41,-0.07,-0.94,"63,840","4,727",2.01,1.05
2017-03-14,陕西建工,0600248,7.52,7.60,7.45,7.48,-0.07,-0.93,"46,224","3,480",1.99,0.76
2017-03-13,陕西建工,0600248,7.47,7.56,7.35,7.55,0.07,0.94,"63,169","4,696",2.81,1.04
2017-03-10,陕西建工,0600248,7.49,7.55,7.47,7.48,-0.01,-0.13,"40,003","3,001",1.07,0.66
2017-03-09,陕西建工,0600248,7.58,7.60,7.48,7.49,-0.11,-1.45,"55,516","4,184",1.58,0.91
2017-03-08,陕西建工,0600248,7.60,7.63,7.55,7.60,0.00,0.00,"49,861","3,779",1.05,0.82
2017-03-07,陕西建工,0600248,7.56,7.61,7.56,7.60,0.02,0.26,"60,346","4,577",0.66,0.99
2017-03-06,陕西建工,0600248,7.48,7.59,7.47,7.58,0.09,1.20,"75,362","5,687",1.60,1.24
2017-03-03,陕西建工,0600248,7.58,7.59,7.46,7.49,-0.11,-1.45,"72,196","5,415",1.71,1.19
2017-03-02,陕西建工,0600248,7.72,7.76,7.58,7.60,-0.11,-1.43,"81,795","6,270",2.33,1.35
2017-03-01,陕西建工,0600248,7.73,7.85,7.67,7.71,-0.06,-0.77,"103,840","8,040",2.32,1.71
2017-02-28,陕西建工,0600248,7.67,7.81,7.60,7.77,0.12,1.57,"94,992","7,313",2.75,1.56
2017-02-27,陕西建工,0600248,7.81,7.89,7.63,7.65,-0.20,-2.55,"119,324","9,234",3.31,1.96
2017-02-24,陕西建工,0600248,7.92,8.08,7.77,7.85,-0.15,-1.88,"161,666","12,720",3.88,2.66
2017-02-23,陕西建工,0600248,8.12,8.39,7.94,8.00,-0.06,-0.74,"218,384","17,720",5.58,3.59
2017-02-22,陕西建工,0600248,7.85,8.55,7.81,8.06,0.29,3.73,"272,733","22,202",9.52,4.49
2017-02-21,陕西建工,0600248,7.77,7.82,7.68,7.77,0.03,0.39,"97,034","7,506",1.81,1.60
2017-02-20,陕西建工,0600248,7.52,7.78,7.51,7.74,0.22,2.93,"125,782","9,652",3.59,2.07
2017-02-17,陕西建工,0600248,7.70,7.72,7.48,7.52,-0.21,-2.72,"111,714","8,474",3.10,1.84
2017-02-16,陕西建工,0600248,7.38,7.80,7.38,7.73,0.32,4.32,"165,596","12,647",5.67,2.73
2017-02-15,陕西建工,0600248,7.49,7.54,7.40,7.41,-0.12,-1.59,"73,998","5,524",1.86,1.22
2017-02-14,陕西建工,0600248,7.56,7.60,7.44,7.53,-0.01,-0.13,"77,176","5,802",2.12,1.27
2017-02-13,陕西建工,0600248,7.43,7.66,7.40,7.54,0.08,1.07,"85,359","6,447",3.49,1.40
2017-02-10,陕西建工,0600248,7.38,7.64,7.38,7.46,0.04,0.54,"115,013","8,649",3.50,1.89
2017-02-09,陕西建工,0600248,7.25,7.46,7.21,7.42,0.16,2.20,"85,663","6,303",3.44,1.41
2017-02-08,陕西建工,0600248,7.23,7.27,7.12,7.26,0.01,0.14,"57,835","4,161",2.07,0.95
2017-02-07,陕西建工,0600248,7.25,7.36,7.21,7.25,-0.01,-0.14,"49,083","3,571",2.07,0.81
2017-02-06,陕西建工,0600248,7.08,7.27,7.04,7.26,0.17,2.40,"57,799","4,157",3.24,0.95
2017-02-03,陕西建工,0600248,7.05,7.13,7.01,7.09,0.02,0.28,"42,074","2,976",1.70,0.69
2017-01-26,陕西建工,0600248,7.07,7.09,6.98,7.07,0.00,0.00,"47,747","3,367",1.56,0.79
2017-01-25,陕西建工,0600248,7.06,7.10,7.02,7.07,-0.03,-0.42,"36,277","2,561",1.13,0.60
2017-01-24,陕西建工,0600248,7.03,7.12,6.95,7.10,0.07,1.00,"48,422","3,396",2.42,0.80
2017-01-23,陕西建工,0600248,7.01,7.08,6.98,7.03,0.02,0.29,"51,171","3,599",1.43,0.84
2017-01-20,陕西建工,0600248,6.87,7.06,6.82,7.01,0.15,2.19,"52,569","3,675",3.50,0.87
2017-01-19,陕西建工,0600248,6.90,6.92,6.80,6.86,-0.10,-1.44,"43,381","2,977",1.72,0.71
2017-01-18,陕西建工,0600248,7.02,7.06,6.91,6.96,-0.06,-0.85,"42,778","2,984",2.14,0.70
2017-01-17,陕西建工,0600248,7.03,7.07,6.83,7.02,-0.04,-0.57,"62,322","4,344",3.40,1.03
2017-01-16,陕西建工,0600248,7.36,7.37,6.66,7.06,-0.30,-4.08,"134,221","9,449",9.65,2.21
2017-01-13,陕西建工,0600248,7.46,7.58,7.27,7.36,-0.14,-1.87,"73,326","5,461",4.13,1.21
2017-01-12,陕西建工,0600248,7.44,7.62,7.40,7.50,0.04,0.54,"68,940","5,165",2.95,1.13
2017-01-11,陕西建工,0600248,7.50,7.67,7.42,7.46,-0.05,-0.67,"81,226","6,130",3.33,1.34
2017-01-10,陕西建工,0600248,7.72,7.72,7.49,7.51,-0.22,-2.85,"124,834","9,482",2.98,2.05
2017-01-09,陕西建工,0600248,7.55,7.87,7.52,7.73,0.18,2.38,"193,482","14,945",4.64,3.18
2017-01-06,陕西建工,0600248,7.45,7.64,7.37,7.55,0.13,1.75,"126,642","9,526",3.64,2.08
2017-01-05,陕西建工,0600248,7.40,7.60,7.38,7.42,0.04,0.54,"139,042","10,440",2.98,2.29
2017-01-04,陕西建工,0600248,7.28,7.44,7.22,7.38,0.13,1.79,"121,571","8,948",3.03,2.00
2017-01-03,陕西建工,0600248,7.10,7.28,7.01,7.25,0.16,2.26,"148,210","10,681",3.81,2.44
2017-06-30,陕西建工,0600248,6.01,6.03,5.96,6.03,0.02,0.33,"19,903","1,192",1.16,0.33
2017-06-29,陕西建工,0600248,6.04,6.04,5.95,6.01,0.04,0.67,"24,128","1,448",1.51,0.40
2017-06-28,陕西建工,0600248,6.02,6.03,5.93,5.97,-0.06,-1.00,"31,329","1,874",1.66,0.52
2017-06-27,陕西建工,0600248,5.98,6.05,5.95,6.03,0.05,0.84,"34,201","2,053",1.67,0.56
2017-06-26,陕西建工,0600248,5.90,5.98,5.85,5.98,0.08,1.36,"25,583","1,516",2.20,0.42
2017-06-23,陕西建工,0600248,5.90,5.94,5.75,5.90,0.00,0.00,"57,423","3,365",3.22,0.95
2017-06-22,陕西建工,0600248,6.16,6.16,5.89,5.90,-0.26,-4.22,"56,880","3,437",4.38,0.94
2017-06-21,陕西建工,0600248,6.22,6.24,6.12,6.16,-0.05,-0.81,"27,377","1,689",1.93,0.45
2017-06-20,陕西建工,0600248,6.25,6.28,6.22,6.23,-0.02,-0.32,"25,868","1,615",0.96,0.43
2017-06-19,陕西建工,0600248,6.22,6.26,6.20,6.25,0.04,0.64,"31,368","1,955",0.97,0.52
2017-06-16,陕西建工,0600248,6.25,6.27,6.15,6.21,-0.03,-0.48,"26,251","1,629",1.92,0.43
2017-06-15,陕西建工,0600248,6.08,6.26,6.07,6.24,0.14,2.30,"45,661","2,835",3.11,0.75
2017-06-14,陕西建工,0600248,6.15,6.16,6.08,6.10,-0.05,-0.81,"29,643","1,814",1.30,0.49
2017-06-13,陕西建工,0600248,6.04,6.19,6.01,6.15,0.06,0.99,"40,727","2,487",2.96,0.67
2017-06-12,陕西建工,0600248,6.18,6.18,6.09,6.09,-0.11,-1.77,"31,513","1,931",1.45,0.52
2017-06-09,陕西建工,0600248,6.21,6.24,6.10,6.20,-0.02,-0.32,"38,267","2,358",2.25,0.63
2017-06-08,陕西建工,0600248,6.28,6.33,6.21,6.22,-0.08,-1.27,"45,919","2,877",1.90,0.76
2017-06-07,陕西建工,0600248,6.17,6.30,6.16,6.30,0.11,1.78,"59,757","3,736",2.26,0.98
2017-06-06,陕西建工,0600248,6.35,6.35,6.15,6.19,-0.09,-1.43,"61,742","3,838",3.18,1.02
2017-06-05,陕西建工,0600248,6.24,6.41,6.21,6.28,-0.01,-0.16,"74,031","4,674",3.18,1.22
2017-06-02,陕西建工,0600248,6.15,6.39,6.13,6.29,-0.12,-1.87,"128,237","8,024",4.06,2.11
2017-06-01,陕西建工,0600248,6.01,6.63,5.90,6.41,0.38,6.30,"182,650","11,442",12.11,3.01
2017-05-31,陕西建工,0600248,6.09,6.14,6.01,6.03,-0.02,-0.33,"36,654","2,224",2.15,0.60
2017-05-26,陕西建工,0600248,6.07,6.12,5.99,6.05,-0.03,-0.49,"43,067","2,610",2.14,0.71
2017-05-25,陕西建工,0600248,5.88,6.13,5.81,6.08,0.03,0.50,"78,610","4,693",5.29,1.29
2017-05-24,陕西建工,0600248,5.66,6.17,5.48,6.05,0.37,6.51,"67,380","3,887",12.15,1.11
2017-05-23,陕西建工,0600248,5.82,5.90,5.66,5.68,-0.17,-2.91,"40,137","2,325",4.10,0.66
2017-05-22,陕西建工,0600248,6.18,6.19,5.82,5.85,-0.31,-5.03,"59,948","3,579",6.01,0.99
2017-05-19,陕西建工,0600248,6.14,6.30,6.10,6.16,0.01,0.16,"53,601","3,323",3.25,0.88
2017-05-18,陕西建工,0600248,5.98,6.16,5.95,6.15,0.11,1.82,"47,384","2,881",3.48,0.78
2017-05-17,陕西建工,0600248,5.95,6.13,5.94,6.04,0.11,1.86,"53,459","3,237",3.20,0.88
2017-05-16,陕西建工,0600248,5.78,5.93,5.71,5.93,0.13,2.24,"33,340","1,945",3.79,0.55
2017-05-15,陕西建工,0600248,5.77,5.84,5.77,5.80,0.03,0.52,"26,123","1,516",1.21,0.43
2017-05-12,陕西建工,0600248,5.74,5.81,5.70,5.77,0.03,0.52,"31,965","1,843",1.92,0.53
2017-05-11,陕西建工,0600248,5.82,5.86,5.59,5.74,-0.13,-2.21,"67,304","3,861",4.60,1.11
2017-05-10,陕西建工,0600248,6.03,6.07,5.85,5.87,-0.18,-2.98,"38,699","2,307",3.64,0.64
2017-05-09,陕西建工,0600248,5.88,6.06,5.88,6.05,0.10,1.68,"45,108","2,699",3.03,0.74
2017-05-08,陕西建工,0600248,6.17,6.17,5.95,5.95,-0.22,-3.57,"51,730","3,131",3.57,0.85
2017-05-05,陕西建工,0600248,6.25,6.27,6.16,6.17,-0.11,-1.75,"40,972","2,544",1.75,0.67
2017-05-04,陕西建工,0600248,6.28,6.33,6.18,6.28,-0.01,-0.16,"47,582","2,982",2.38,0.78
2017-05-03,陕西建工,0600248,6.28,6.31,6.20,6.29,0.01,0.16,"45,649","2,856",1.75,0.75
2017-05-02,陕西建工,0600248,6.38,6.38,6.25,6.28,-0.10,-1.57,"53,557","3,374",2.04,0.88
2017-04-28,陕西建工,0600248,6.35,6.39,6.30,6.38,0.03,0.47,"46,204","2,933",1.42,0.76
2017-04-27,陕西建工,0600248,6.38,6.43,6.12,6.35,-0.03,-0.47,"85,517","5,376",4.86,1.41
2017-04-26,陕西建工,0600248,6.36,6.42,6.36,6.38,0.03,0.47,"28,051","1,793",0.94,0.46
2017-04-25,陕西建工,0600248,6.31,6.49,6.31,6.35,0.04,0.63,"66,587","4,259",2.85,1.10
2017-04-24,陕西建工,0600248,6.73,6.73,6.25,6.31,-0.44,-6.52,"95,879","6,180",7.11,1.58
2017-04-21,陕西建工,0600248,6.90,6.93,6.71,6.75,-0.15,-2.17,"61,615","4,199",3.19,1.01
2017-04-20,陕西建工,0600248,7.12,7.14,6.84,6.90,-0.21,-2.95,"86,422","6,011",4.22,1.42
2017-04-19,陕西建工,0600248,7.19,7.19,7.02,7.11,-0.07,-0.97,"59,092","4,185",2.37,0.97
2017-04-18,陕西建工,0600248,7.24,7.28,7.18,7.18,-0.04,-0.55,"37,173","2,692",1.39,0.61
2017-04-17,陕西建工,0600248,7.18,7.32,7.13,7.22,-0.01,-0.14,"55,660","4,021",2.63,0.92
2017-04-14,陕西建工,0600248,7.43,7.43,7.21,7.23,-0.20,-2.69,"62,064","4,540",2.96,1.02
2017-04-13,陕西建工,0600248,7.33,7.46,7.30,7.43,0.10,1.36,"49,531","3,661",2.18,0.82
2017-04-12,陕西建工,0600248,7.40,7.44,7.30,7.33,-0.10,-1.35,"68,276","5,028",1.88,1.12
2017-04-11,陕西建工,0600248,7.54,7.62,7.21,7.43,-0.11,-1.46,"160,355","11,895",5.44,2.64
2017-04-10,陕西建工,0600248,7.70,7.71,7.52,7.54,-0.16,-2.08,"102,437","7,759",2.47,1.69
2017-04-07,陕西建工,0600248,7.70,7.77,7.62,7.70,-0.05,-0.65,"91,573","7,047",1.94,1.51
2017-04-06,陕西建工,0600248,7.59,7.79,7.55,7.75,0.17,2.24,"137,793","10,580",3.17,2.27
2017-04-05,陕西建工,0600248,7.44,7.64,7.40,7.58,0.09,1.20,"115,272","8,698",3.20,1.90
2018-03-30,陕西建工,0600248,5.27,5.30,5.21,5.29,0.06,1.15,"29,191","1,536",1.72,0.48
2018-03-29,陕西建工,0600248,5.22,5.25,5.18,5.23,0.04,0.77,"19,574","1,020",1.35,0.32
2018-03-28,陕西建工,0600248,5.20,5.25,5.12,5.19,-0.05,-0.95,"22,811","1,186",2.48,0.38
2018-03-27,陕西建工,0600248,5.18,5.28,5.18,5.24,0.09,1.75,"27,373","1,434",1.94,0.45
2018-03-26,陕西建工,0600248,5.05,5.15,5.04,5.15,0.01,0.19,"25,423","1,295",2.14,0.42
2018-03-23,陕西建工,0600248,5.32,5.32,5.05,5.14,-0.29,-5.34,"47,694","2,474",4.97,0.79
2018-03-22,陕西建工,0600248,5.36,5.47,5.32,5.43,0.08,1.50,"28,370","1,533",2.80,0.47
2018-03-21,陕西建工,0600248,5.34,5.56,5.34,5.35,0.01,0.19,"32,881","1,787",4.12,0.54
2018-03-20,陕西建工,0600248,5.30,5.34,5.26,5.34,0.00,0.00,"22,108","1,171",1.50,0.36
2018-03-19,陕西建工,0600248,5.35,5.36,5.29,5.34,-0.02,-0.37,"19,023","1,012",1.31,0.31
2018-03-16,陕西建工,0600248,5.39,5.39,5.33,5.36,-0.03,-0.56,"22,434","1,202",1.11,0.37
2018-03-15,陕西建工,0600248,5.46,5.50,5.31,5.39,-0.16,-2.88,"54,131","2,934",3.42,0.89
2018-03-14,陕西建工,0600248,5.55,5.74,5.50,5.55,0.12,2.21,"106,869","6,018",4.42,1.76
2018-03-13,陕西建工,0600248,5.37,5.51,5.35,5.43,0.05,0.93,"34,895","1,902",2.97,0.57
2018-03-12,陕西建工,0600248,5.34,5.38,5.33,5.38,0.04,0.75,"24,865","1,333",0.94,0.41
2018-03-09,陕西建工,0600248,5.28,5.37,5.26,5.34,0.05,0.95,"17,895",951,2.08,0.29
2018-03-08,陕西建工,0600248,5.25,5.31,5.25,5.29,0.02,0.38,"11,381",600,1.14,0.19
2018-03-07,陕西建工,0600248,5.29,5.33,5.26,5.27,-0.05,-0.94,"19,620","1,038",1.32,0.32
2018-03-06,陕西建工,0600248,5.25,5.33,5.23,5.32,0.02,0.38,"23,467","1,239",1.89,0.39
2018-03-05,陕西建工,0600248,5.15,5.51,5.15,5.30,0.18,3.52,"50,200","2,677",7.03,0.83
2018-03-02,陕西建工,0600248,5.11,5.13,5.06,5.12,0.00,0.00,"14,515",742,1.37,0.24
2018-03-01,陕西建工,0600248,5.07,5.13,5.07,5.12,0.01,0.20,"15,158",774,1.17,0.25
2018-02-28,陕西建工,0600248,5.04,5.12,5.04,5.11,0.02,0.39,"14,936",758,1.57,0.25
2018-02-27,陕西建工,0600248,5.16,5.16,5.07,5.09,-0.06,-1.17,"16,351",835,1.75,0.27
2018-02-26,陕西建工,0600248,5.06,5.17,5.06,5.15,0.08,1.58,"15,026",773,2.17,0.25
2018-02-23,陕西建工,0600248,5.05,5.08,5.02,5.07,0.02,0.40,"11,375",575,1.19,0.19
2018-02-22,陕西建工,0600248,5.00,5.06,4.97,5.05,0.10,2.02,"10,933",550,1.82,0.18
2018-02-14,陕西建工,0600248,4.94,4.97,4.91,4.95,0.02,0.41,"8,837",436,1.22,0.15
2018-02-13,陕西建工,0600248,4.95,5.01,4.92,4.93,-0.02,-0.40,"15,586",774,1.82,0.26
2018-02-12,陕西建工,0600248,4.88,4.98,4.86,4.95,0.11,2.27,"15,617",771,2.48,0.26
2018-02-09,陕西建工,0600248,4.86,4.94,4.80,4.84,-0.11,-2.22,"21,674","1,056",2.83,0.36
2018-02-08,陕西建工,0600248,4.82,4.99,4.81,4.95,0.13,2.70,"20,523","1,013",3.73,0.34
2018-02-07,陕西建工,0600248,4.80,4.87,4.70,4.82,0.09,1.90,"27,746","1,334",3.59,0.46
2018-02-06,陕西建工,0600248,4.99,5.04,4.72,4.73,-0.35,-6.89,"36,737","1,795",6.30,0.60
2018-02-05,陕西建工,0600248,5.16,5.18,5.01,5.08,-0.15,-2.87,"23,806","1,216",3.25,0.39
2018-02-02,陕西建工,0600248,5.19,5.29,5.08,5.23,-0.02,-0.38,"24,297","1,260",4.00,0.40
2018-02-01,陕西建工,0600248,5.52,5.57,5.12,5.25,-0.31,-5.58,"67,921","3,635",8.09,1.12
2018-01-31,陕西建工,0600248,5.76,5.76,5.50,5.56,-0.23,-3.97,"43,482","2,460",4.49,0.72
2018-01-30,陕西建工,0600248,5.73,5.79,5.71,5.79,0.04,0.70,"19,510","1,123",1.39,0.32
2018-01-29,陕西建工,0600248,5.85,5.87,5.74,5.75,-0.10,-1.71,"35,358","2,054",2.22,0.58
2018-01-26,陕西建工,0600248,5.92,5.94,5.84,5.85,-0.06,-1.02,"39,935","2,348",1.69,0.66
2018-01-25,陕西建工,0600248,5.80,5.93,5.79,5.91,0.10,1.72,"53,088","3,111",2.41,0.87
2018-01-24,陕西建工,0600248,5.76,5.82,5.73,5.81,0.03,0.52,"34,699","2,005",1.56,0.57
2018-01-23,陕西建工,0600248,5.74,5.79,5.70,5.78,0.03,0.52,"48,098","2,767",1.57,0.79
2018-01-22,陕西建工,0600248,5.82,5.82,5.71,5.75,-0.02,-0.35,"31,213","1,798",1.91,0.51
2018-01-19,陕西建工,0600248,5.78,5.90,5.73,5.77,-0.02,-0.35,"41,047","2,389",2.94,0.68
2018-01-18,陕西建工,0600248,5.78,5.86,5.75,5.79,-0.03,-0.52,"37,976","2,202",1.89,0.63
2018-01-17,陕西建工,0600248,5.90,5.93,5.78,5.82,-0.12,-2.02,"51,391","2,994",2.53,0.85
2018-01-16,陕西建工,0600248,5.85,6.03,5.82,5.94,0.04,0.68,"57,185","3,377",3.56,0.94
2018-01-15,陕西建工,0600248,6.16,6.19,5.76,5.90,-0.27,-4.38,"107,409","6,368",6.97,1.77
2018-01-12,陕西建工,0600248,6.20,6.29,6.10,6.17,-0.09,-1.44,"87,825","5,441",3.04,1.45
2018-01-11,陕西建工,0600248,6.31,6.39,6.18,6.26,-0.18,-2.80,"122,691","7,671",3.26,2.02
2018-01-10,陕西建工,0600248,6.35,6.68,6.28,6.44,-0.10,-1.53,"198,803","12,794",6.12,3.27
2018-01-09,陕西建工,0600248,6.69,7.05,6.52,6.54,-0.16,-2.39,"344,477","23,264",7.91,5.67
2018-01-08,陕西建工,0600248,6.70,6.70,6.15,6.70,0.61,10.02,"176,211","11,705",9.03,2.90
2018-01-05,陕西建工,0600248,6.09,6.09,6.09,6.09,0.55,9.93,"8,960",546,0.00,0.15
2018-09-28,陕西建工,0600248,4.77,4.77,4.67,4.71,-0.01,-0.21,"23,700","1,116",2.12,0.39
2018-09-27,陕西建工,0600248,4.78,4.80,4.66,4.72,-0.09,-1.87,"33,199","1,568",2.91,0.55
2018-09-26,陕西建工,0600248,4.86,4.86,4.76,4.81,-0.01,-0.21,"45,004","2,162",2.07,0.74
2018-09-25,陕西建工,0600248,4.69,4.84,4.67,4.82,0.14,2.99,"62,898","3,011",3.63,1.04
2018-09-21,陕西建工,0600248,4.64,4.70,4.60,4.68,0.04,0.86,"30,446","1,416",2.16,0.50
2018-09-20,陕西建工,0600248,4.64,4.71,4.58,4.64,-0.01,-0.22,"24,264","1,121",2.80,0.40
2018-09-19,陕西建工,0600248,4.58,4.70,4.56,4.65,0.00,0.00,"56,761","2,643",3.01,0.93
2018-09-18,陕西建工,0600248,4.46,4.67,4.42,4.65,0.15,3.33,"43,261","1,975",5.56,0.71
2018-09-17,陕西建工,0600248,4.51,4.54,4.42,4.50,-0.04,-0.88,"20,279",909,2.64,0.33
2018-09-14,陕西建工,0600248,4.58,4.63,4.51,4.54,-0.10,-2.16,"39,356","1,795",2.59,0.65
2018-09-13,陕西建工,0600248,4.43,4.86,4.42,4.64,0.22,4.98,"72,100","3,342",9.95,1.19
2018-09-12,陕西建工,0600248,4.44,4.49,4.38,4.42,-0.07,-1.56,"22,774","1,009",2.45,0.37
2018-09-11,陕西建工,0600248,4.46,4.52,4.44,4.49,0.11,2.51,"26,864","1,201",1.83,0.44
2018-09-10,陕西建工,0600248,4.42,4.42,4.35,4.38,-0.05,-1.13,"10,383",454,1.58,0.17
2018-09-07,陕西建工,0600248,4.39,4.45,4.36,4.43,0.02,0.45,"11,842",522,2.04,0.19
2018-09-06,陕西建工,0600248,4.39,4.43,4.34,4.41,0.04,0.92,"12,636",556,2.06,0.21
2018-09-05,陕西建工,0600248,4.48,4.51,4.36,4.37,-0.11,-2.46,"18,136",803,3.35,0.30
2018-09-04,陕西建工,0600248,4.45,4.50,4.41,4.48,0.02,0.45,"13,045",582,2.02,0.21
2018-09-03,陕西建工,0600248,4.47,4.49,4.40,4.46,-0.01,-0.22,"16,956",754,2.01,0.28
2018-08-31,陕西建工,0600248,4.45,4.50,4.43,4.47,0.02,0.45,"17,510",783,1.57,0.29
2018-08-30,陕西建工,0600248,4.58,4.59,4.45,4.45,-0.11,-2.41,"16,614",749,3.07,0.27
2018-08-29,陕西建工,0600248,4.56,4.61,4.53,4.56,-0.03,-0.65,"11,488",524,1.74,0.19
2018-08-28,陕西建工,0600248,4.56,4.63,4.54,4.59,-0.03,-0.65,"16,921",775,1.95,0.28
2018-08-27,陕西建工,0600248,4.53,4.63,4.52,4.62,0.10,2.21,"25,128","1,152",2.43,0.41
2018-08-24,陕西建工,0600248,4.57,4.60,4.50,4.52,-0.10,-2.16,"26,522","1,203",2.16,0.44
2018-08-23,陕西建工,0600248,4.63,4.83,4.59,4.62,0.12,2.67,"42,020","1,967",5.33,0.69
2018-08-22,陕西建工,0600248,4.59,4.59,4.50,4.50,-0.07,-1.53,"12,418",561,1.97,0.20
2018-08-21,陕西建工,0600248,4.49,4.60,4.49,4.57,0.06,1.33,"18,109",823,2.44,0.30
2018-08-20,陕西建工,0600248,4.46,4.54,4.38,4.51,0.12,2.73,"23,415","1,042",3.64,0.39
2018-08-17,陕西建工,0600248,4.61,4.64,4.36,4.39,-0.19,-4.15,"28,065","1,258",6.11,0.46
2018-08-16,陕西建工,0600248,4.62,4.66,4.53,4.58,-0.09,-1.93,"22,337","1,024",2.78,0.37
2018-08-15,陕西建工,0600248,4.80,4.80,4.66,4.67,-0.13,-2.71,"25,162","1,188",2.92,0.41
2018-08-14,陕西建工,0600248,4.78,4.83,4.74,4.80,0.04,0.84,"21,593","1,033",1.89,0.36
2018-08-13,陕西建工,0600248,4.81,4.81,4.71,4.76,-0.12,-2.46,"30,886","1,469",2.05,0.51
2018-08-10,陕西建工,0600248,4.86,4.94,4.86,4.88,-0.03,-0.61,"34,890","1,709",1.63,0.57
2018-08-09,陕西建工,0600248,4.88,4.99,4.78,4.91,-0.05,-1.01,"71,004","3,468",4.23,1.17
2018-08-08,陕西建工,0600248,4.67,5.00,4.66,4.96,0.28,5.98,"118,214","5,765",7.27,1.95
2018-08-07,陕西建工,0600248,4.55,4.69,4.50,4.68,0.21,4.70,"33,205","1,531",4.25,0.55
2018-08-06,陕西建工,0600248,4.46,4.55,4.42,4.47,0.01,0.22,"14,608",655,2.91,0.24
2018-08-03,陕西建工,0600248,4.44,4.58,4.44,4.46,-0.01,-0.22,"19,169",862,3.13,0.32
2018-08-02,陕西建工,0600248,4.63,4.66,4.38,4.47,-0.19,-4.08,"35,086","1,578",6.01,0.58
2018-08-01,陕西建工,0600248,4.85,4.85,4.65,4.66,-0.18,-3.72,"44,096","2,079",4.13,0.73
2018-07-31,陕西建工,0600248,4.78,4.99,4.70,4.84,0.15,3.20,"52,547","2,545",6.18,0.86
2018-07-30,陕西建工,0600248,4.93,5.00,4.63,4.69,-0.44,-8.58,"95,363","4,591",7.21,1.57
2018-07-27,陕西建工,0600248,5.45,5.45,4.96,5.13,0.18,3.64,"172,673","9,006",9.90,2.84
2018-07-19,陕西建工,0600248,4.91,4.98,4.86,4.95,-0.03,-0.60,"36,876","1,814",2.41,0.61
2018-07-18,陕西建工,0600248,4.84,4.99,4.84,4.98,0.15,3.11,"57,274","2,814",3.11,0.94
2018-07-17,陕西建工,0600248,4.71,4.84,4.64,4.83,0.11,2.33,"38,026","1,811",4.24,0.63
2018-07-16,陕西建工,0600248,4.57,4.73,4.55,4.72,0.19,4.19,"40,529","1,890",3.97,0.67
2018-07-13,陕西建工,0600248,4.54,4.54,4.49,4.53,-0.02,-0.44,"12,830",580,1.10,0.21
2018-07-12,陕西建工,0600248,4.48,4.55,4.43,4.55,0.05,1.11,"20,907",942,2.67,0.34
