日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-03-31,三友联众,1300932,37.80,37.80,36.71,36.92,-1.07,-2.82,"31,158","11,539",2.87,10.43
2021-03-30,三友联众,1300932,36.48,38.18,36.20,37.99,1.60,4.40,"55,016","20,616",5.44,18.41
2021-03-29,三友联众,1300932,36.01,36.43,35.78,36.39,0.41,1.14,"20,205","7,291",1.81,6.76
2021-03-26,三友联众,1300932,35.81,36.47,35.60,35.98,0.14,0.39,"22,408","8,073",2.43,7.50
2021-03-25,三友联众,1300932,36.63,36.63,35.66,35.84,-0.87,-2.37,"26,760","9,645",2.64,8.96
2021-03-24,三友联众,1300932,36.46,37.50,36.10,36.71,0.13,0.36,"32,047","11,763",3.83,10.73
2021-03-23,三友联众,1300932,38.00,38.20,36.41,36.58,-1.71,-4.47,"47,619","17,653",4.67,15.94
2021-03-22,三友联众,1300932,37.25,38.53,36.69,38.29,0.71,1.89,"80,822","30,407",4.90,27.05
2021-03-19,三友联众,1300932,33.90,40.50,33.60,37.58,3.83,11.35,"101,564","38,913",20.44,33.99
2021-03-18,三友联众,1300932,33.44,34.52,33.36,33.75,0.30,0.90,"28,977","9,829",3.47,9.70
2021-03-17,三友联众,1300932,32.35,33.75,32.35,33.45,0.75,2.29,"22,963","7,617",4.28,7.69
2021-03-16,三友联众,1300932,33.23,33.55,32.04,32.70,-0.60,-1.80,"25,832","8,459",4.53,8.65
2021-03-15,三友联众,1300932,35.60,35.60,33.02,33.30,-2.45,-6.85,"35,716","12,037",7.22,11.95
2021-03-12,三友联众,1300932,36.21,36.41,35.73,35.75,-0.75,-2.05,"23,337","8,384",1.86,7.81
2021-03-11,三友联众,1300932,36.06,36.65,35.72,36.50,0.15,0.41,"26,178","9,465",2.56,8.76
2021-03-10,三友联众,1300932,36.21,36.87,35.76,36.35,0.61,1.71,"25,513","9,290",3.11,8.54
2021-03-09,三友联众,1300932,37.49,37.49,35.70,35.74,-1.84,-4.90,"34,157","12,414",4.76,11.43
2021-03-08,三友联众,1300932,37.05,38.55,36.83,37.58,0.79,2.15,"44,832","16,925",4.68,15.01
2021-03-05,三友联众,1300932,35.88,37.08,35.73,36.79,0.91,2.54,"23,503","8,602",3.76,7.87
2021-03-04,三友联众,1300932,36.93,36.93,35.88,35.88,-1.21,-3.26,"30,392","11,041",2.83,10.17
2021-03-03,三友联众,1300932,37.75,37.75,36.39,37.09,-0.52,-1.38,"30,432","11,212",3.62,10.19
2021-03-02,三友联众,1300932,37.12,38.22,36.81,37.61,0.56,1.51,"34,504","12,974",3.81,11.55
2021-03-01,三友联众,1300932,36.70,37.15,36.38,37.05,0.66,1.81,"20,990","7,736",2.12,7.03
2021-02-26,三友联众,1300932,36.30,37.28,36.20,36.39,-0.66,-1.78,"27,943","10,243",2.92,9.35
2021-02-25,三友联众,1300932,38.37,39.36,36.94,37.05,-1.09,-2.86,"36,582","13,934",6.35,12.24
2021-02-24,三友联众,1300932,38.91,39.61,37.66,38.14,-1.62,-4.07,"40,203","15,581",4.90,13.46
2021-02-23,三友联众,1300932,37.40,39.99,35.88,39.76,2.12,5.63,"59,158","22,387",10.92,19.80
2021-02-22,三友联众,1300932,38.47,39.19,37.60,37.64,-0.98,-2.54,"46,581","17,919",4.12,15.59
2021-02-19,三友联众,1300932,37.92,38.88,37.22,38.62,0.28,0.73,"46,170","17,575",4.33,15.45
2021-02-18,三友联众,1300932,36.91,38.47,36.58,38.34,2.07,5.71,"43,138","16,278",5.21,14.44
2021-02-10,三友联众,1300932,36.32,36.90,36.01,36.27,0.14,0.39,"38,026","13,868",2.46,12.73
2021-02-09,三友联众,1300932,36.50,36.86,35.58,36.13,-0.39,-1.07,"48,163","17,417",3.50,16.12
2021-02-08,三友联众,1300932,37.30,38.48,36.48,36.52,-0.98,-2.61,"44,088","16,498",5.33,14.76
2021-02-05,三友联众,1300932,40.51,41.86,37.48,37.50,-3.40,-8.31,"69,575","27,463",10.71,23.29
2021-02-04,三友联众,1300932,43.88,43.98,40.86,40.90,-4.00,-8.91,"77,152","32,680",6.95,25.82
2021-02-03,三友联众,1300932,41.80,45.68,41.20,44.90,1.90,4.42,"89,654","39,538",10.42,30.01
2021-02-02,三友联众,1300932,49.99,49.99,43.00,43.00,-7.55,-14.94,"120,548","55,450",13.83,40.35
2021-02-01,三友联众,1300932,46.28,52.80,46.28,50.55,2.89,6.06,"138,861","69,717",13.68,46.48
2021-01-29,三友联众,1300932,43.61,51.40,42.60,47.66,3.33,7.51,"138,341","64,036",19.85,46.30
2021-01-28,三友联众,1300932,41.80,45.60,41.50,44.33,0.81,1.86,"97,934","42,793",9.42,32.78
2021-01-27,三友联众,1300932,42.70,44.37,39.50,43.52,1.23,2.91,"93,575","39,546",11.52,31.32
2021-01-26,三友联众,1300932,42.27,45.44,41.49,42.29,-0.74,-1.72,"91,288","39,690",9.18,30.56
2021-01-25,三友联众,1300932,48.00,48.00,43.03,43.03,-10.73,-19.96,"139,226","62,617",9.24,46.60
2021-01-22,三友联众,1300932,52.00,68.00,52.00,53.76,29.07,117.74,"197,416","115,661",64.80,66.08
2021-09-30,三友联众,1300932,33.54,34.47,33.49,34.20,1.10,3.32,"15,788","5,357",2.96,5.01
2021-09-29,三友联众,1300932,33.95,34.49,32.89,33.10,-0.79,-2.33,"14,472","4,857",4.72,4.59
2021-09-28,三友联众,1300932,32.33,34.29,32.00,33.89,1.59,4.92,"20,946","7,022",7.09,6.65
2021-09-27,三友联众,1300932,35.50,35.94,32.03,32.30,-2.61,-7.48,"26,115","8,885",11.20,8.29
2021-09-24,三友联众,1300932,34.79,36.33,33.63,34.91,0.01,0.03,"26,401","9,181",7.74,8.38
2021-09-23,三友联众,1300932,36.01,37.20,34.90,34.90,-1.74,-4.75,"31,222","11,184",6.28,9.91
2021-09-22,三友联众,1300932,34.89,36.70,33.81,36.64,1.65,4.72,"34,973","12,422",8.26,11.10
2021-09-17,三友联众,1300932,33.62,35.55,33.07,34.99,1.33,3.95,"25,390","8,831",7.37,8.06
2021-09-16,三友联众,1300932,35.40,35.41,33.59,33.66,-1.60,-4.54,"17,248","5,896",5.16,5.48
2021-09-15,三友联众,1300932,34.60,36.11,34.60,35.26,0.57,1.64,"14,656","5,180",4.35,4.65
2021-09-14,三友联众,1300932,35.33,35.67,34.67,34.69,-0.76,-2.14,"11,386","3,987",2.82,3.61
2021-09-13,三友联众,1300932,36.17,37.13,35.36,35.45,-1.09,-2.98,"12,344","4,407",4.84,3.92
2021-09-10,三友联众,1300932,36.34,37.33,36.08,36.54,0.31,0.86,"13,046","4,779",3.45,4.14
2021-09-09,三友联众,1300932,36.90,37.05,35.97,36.23,-0.91,-2.45,"13,003","4,718",2.91,4.13
2021-09-08,三友联众,1300932,37.64,38.43,36.82,37.14,-0.65,-1.72,"14,074","5,239",4.26,4.47
2021-09-07,三友联众,1300932,37.59,38.00,36.63,37.79,0.04,0.11,"18,649","6,938",3.63,5.92
2021-09-06,三友联众,1300932,37.99,38.95,36.50,37.75,-0.74,-1.92,"20,318","7,613",6.37,6.45
2021-09-03,三友联众,1300932,40.45,40.88,38.40,38.49,-0.75,-1.91,"25,842","10,268",6.32,8.20
2021-09-02,三友联众,1300932,37.12,39.28,36.96,39.24,2.02,5.43,"21,888","8,361",6.23,6.95
2021-09-01,三友联众,1300932,39.93,39.93,37.00,37.22,-3.02,-7.51,"27,050","10,229",7.28,8.59
2021-08-31,三友联众,1300932,39.18,40.54,38.15,40.24,0.20,0.50,"25,547","10,108",5.97,8.11
2021-08-30,三友联众,1300932,38.55,41.28,38.55,40.04,2.04,5.37,"41,219","16,585",7.18,13.09
2021-08-27,三友联众,1300932,39.05,39.66,37.28,38.00,-0.60,-1.55,"28,851","10,970",6.17,9.16
2021-08-26,三友联众,1300932,37.46,40.00,37.45,38.60,0.88,2.33,"47,873","18,701",6.76,15.20
2021-08-25,三友联众,1300932,37.25,37.99,36.90,37.72,-0.23,-0.61,"28,469","10,665",2.87,9.04
2021-08-24,三友联众,1300932,38.26,38.43,36.69,37.95,-0.19,-0.50,"43,785","16,393",4.56,13.90
2021-08-23,三友联众,1300932,35.64,38.48,35.51,38.14,2.44,6.83,"67,380","25,041",8.32,21.39
2021-08-20,三友联众,1300932,37.45,37.58,35.13,35.70,-1.44,-3.88,"40,949","14,696",6.60,13.00
2021-08-19,三友联众,1300932,38.78,38.89,36.91,37.14,-1.91,-4.89,"52,820","19,769",5.07,16.77
2021-08-18,三友联众,1300932,40.16,40.79,37.90,39.05,-1.11,-2.76,"74,878","29,102",7.20,23.77
2021-08-17,三友联众,1300932,43.19,44.62,39.89,40.16,-3.72,-8.48,"100,069","41,814",10.78,31.77
2021-08-16,三友联众,1300932,47.44,49.40,43.03,43.88,-0.76,-1.70,"142,115","65,290",14.27,45.12
2021-08-13,三友联众,1300932,43.80,44.64,41.80,44.64,7.44,20.00,"60,658","26,556",7.63,19.26
2021-08-12,三友联众,1300932,31.15,37.20,31.01,37.20,6.20,20.00,"106,413","38,393",19.97,33.78
2021-08-11,三友联众,1300932,30.08,31.43,29.71,31.00,1.15,3.85,"21,762","6,720",5.76,6.91
2021-08-10,三友联众,1300932,29.43,30.16,29.11,29.85,0.30,1.02,"10,288","3,071",3.55,3.27
2021-08-09,三友联众,1300932,30.39,30.40,29.36,29.55,0.58,2.00,"10,601","3,144",3.59,3.37
2021-08-06,三友联众,1300932,29.24,29.38,28.91,28.97,-0.31,-1.06,"7,697","2,235",1.61,2.44
2021-08-05,三友联众,1300932,29.64,29.64,29.11,29.28,-0.31,-1.05,"8,470","2,474",1.79,2.69
2021-08-04,三友联众,1300932,28.95,29.88,28.70,29.59,0.61,2.10,"8,907","2,623",4.07,2.83
2021-08-03,三友联众,1300932,29.31,29.57,28.91,28.98,-0.43,-1.46,"9,697","2,834",2.24,3.08
2021-08-02,三友联众,1300932,29.19,29.75,29.06,29.41,0.02,0.07,"12,735","3,736",2.35,4.04
2021-07-30,三友联众,1300932,27.42,29.97,27.42,29.39,1.74,6.29,"21,300","6,208",9.22,6.76
2021-07-29,三友联众,1300932,27.45,27.99,27.42,27.65,0.43,1.58,"7,266","2,016",2.09,2.31
2021-07-28,三友联众,1300932,28.11,28.18,26.76,27.22,-1.04,-3.68,"10,472","2,869",5.02,3.32
2021-07-27,三友联众,1300932,28.23,28.78,28.23,28.26,-0.04,-0.14,"8,434","2,406",1.94,2.68
2021-07-26,三友联众,1300932,28.81,28.85,28.00,28.30,-0.68,-2.35,"11,189","3,189",2.93,3.55
2021-07-23,三友联众,1300932,29.66,29.66,28.80,28.98,-0.69,-2.33,"14,103","4,100",2.90,4.48
2021-07-22,三友联众,1300932,29.13,29.74,29.07,29.67,-0.04,-0.13,"16,114","4,735",2.26,5.12
2021-07-21,三友联众,1300932,29.40,29.85,29.30,29.71,0.31,1.05,"6,984","2,071",1.87,2.34
2021-07-20,三友联众,1300932,29.61,29.93,29.20,29.40,-0.59,-1.97,"9,593","2,826",2.43,3.21
2021-07-19,三友联众,1300932,31.30,31.35,29.66,29.99,-1.27,-4.06,"15,305","4,609",5.41,5.12
2021-07-16,三友联众,1300932,31.43,31.79,31.12,31.26,-0.35,-1.11,"7,749","2,434",2.12,2.59
2021-07-15,三友联众,1300932,31.95,32.16,31.40,31.61,-0.49,-1.53,"8,598","2,720",2.37,2.88
2021-07-14,三友联众,1300932,32.46,32.64,32.10,32.10,-0.36,-1.11,"6,865","2,221",1.66,2.30
2021-07-13,三友联众,1300932,32.65,32.97,32.18,32.46,-0.27,-0.82,"9,729","3,164",2.41,3.26
2021-07-12,三友联众,1300932,31.89,32.98,31.76,32.73,0.81,2.54,"15,109","4,914",3.82,5.06
2021-07-09,三友联众,1300932,31.66,32.23,31.30,31.92,0.31,0.98,"8,291","2,629",2.94,2.78
2021-07-08,三友联众,1300932,32.21,32.26,31.50,31.61,-0.58,-1.80,"11,179","3,547",2.36,3.74
2021-07-07,三友联众,1300932,32.08,32.35,31.87,32.19,0.07,0.22,"8,117","2,614",1.49,2.72
2021-07-06,三友联众,1300932,32.41,32.46,31.75,32.12,-0.28,-0.86,"8,684","2,779",2.19,2.91
2021-07-05,三友联众,1300932,31.35,32.43,31.22,32.40,1.04,3.32,"12,280","3,917",3.86,4.11
2021-07-02,三友联众,1300932,32.30,32.38,31.34,31.36,-0.92,-2.85,"14,333","4,538",3.22,4.80
2021-07-01,三友联众,1300932,32.16,32.53,31.88,32.28,0.13,0.40,"10,779","3,476",2.02,3.61
2021-06-30,三友联众,1300932,32.47,32.47,32.01,32.15,0.00,0.00,"11,692","3,763",1.43,3.91
2021-06-29,三友联众,1300932,33.48,33.48,32.15,32.15,-0.89,-2.69,"13,377","4,369",4.03,4.48
2021-06-28,三友联众,1300932,33.00,33.27,32.85,33.04,0.04,0.12,"9,987","3,301",1.27,3.34
2021-06-25,三友联众,1300932,33.59,33.59,32.93,33.00,-0.36,-1.08,"12,809","4,243",1.98,4.29
2021-06-24,三友联众,1300932,34.04,34.33,33.25,33.36,-1.02,-2.97,"18,579","6,279",3.14,6.22
2021-06-23,三友联众,1300932,34.03,34.56,33.66,34.38,0.32,0.94,"23,371","7,987",2.64,7.82
2021-06-22,三友联众,1300932,33.10,34.35,32.67,34.06,1.07,3.24,"32,463","10,900",5.09,10.87
2021-06-21,三友联众,1300932,32.38,33.16,32.20,32.99,0.41,1.26,"14,473","4,753",2.95,4.84
2021-06-18,三友联众,1300932,32.37,32.67,32.15,32.58,-0.15,-0.46,"11,963","3,883",1.59,4.00
2021-06-17,三友联众,1300932,32.54,33.30,32.22,32.73,0.67,2.09,"17,263","5,647",3.37,5.78
2021-06-16,三友联众,1300932,31.71,32.15,31.44,32.06,0.45,1.42,"10,220","3,246",2.25,3.42
2021-06-15,三友联众,1300932,32.32,32.32,31.53,31.61,-0.72,-2.23,"9,660","3,079",2.44,3.23
2021-06-11,三友联众,1300932,32.60,32.78,32.20,32.33,0.14,0.43,"10,161","3,299",1.80,3.40
2021-06-10,三友联众,1300932,31.93,32.30,31.72,32.19,0.25,0.78,"10,895","3,483",1.82,3.65
2021-06-09,三友联众,1300932,31.90,32.25,31.80,31.94,-0.05,-0.16,"8,775","2,803",1.41,2.94
2021-06-08,三友联众,1300932,32.46,32.59,31.88,31.99,-0.47,-1.45,"11,378","3,664",2.19,3.81
2021-06-07,三友联众,1300932,32.40,32.56,32.16,32.46,0.06,0.19,"8,178","2,647",1.23,2.74
2021-06-04,三友联众,1300932,32.56,32.94,32.32,32.40,-0.30,-0.92,"11,111","3,619",1.90,3.72
2021-06-03,三友联众,1300932,33.45,33.47,32.70,32.70,-0.61,-1.83,"16,139","5,340",2.31,5.40
2021-06-02,三友联众,1300932,33.40,33.59,32.93,33.31,0.01,0.03,"17,005","5,655",1.98,5.69
2021-06-01,三友联众,1300932,33.31,33.50,32.91,33.30,-0.01,-0.03,"14,401","4,786",1.77,4.82
2021-05-31,三友联众,1300932,32.96,33.69,32.22,33.31,0.65,1.99,"21,103","6,992",4.50,7.06
2021-05-28,三友联众,1300932,33.11,33.34,32.35,32.66,-0.48,-1.45,"15,528","5,081",2.99,5.20
